id,prompt,A,B,C,D,E,answer
3324,What is one of the major anatomical characteristics that enable camels to conserve water and limit the volume of urine in extreme desert conditions?,Smaller diameter of renal corpuscles,Thick syrup-like consistency of urine,High chloride concentrations in urine,Efficient reabsorption of water in the kidneys and intestines,1:4 cortex to medulla ratio in the kidneys,E
3325,When did Elfordstown Earthstation come into service?,1984,1989,1997,2010,2013,A
3326,What is a chine in boat design?,A sharp change in angle in the cross section of a hull,A gradual curving cross section of a hull,A method of building hard chine boat hulls,A mode of construction using sheet materials,A type of boat hull made from steel or plywood,A
3327,"What is the primary function of the Sendzimir Mill in the Old Park Silver Mills in Sheffield, England?",To roll steels for the cutlery and flatware trades,To apply force on the small work rolls in the center,To roll sheet nickel silver for the cutlery and flatware trades,To bend the work rolls to improve metal quality,To hold a key place in the Industrial Revolution,C
3328,What is fragment-based lead discovery (FBLD) also known as?,High-throughput screening (HTS),Fragment-based drug discovery (FBDD),Lead compound identification (LCI),Biological target identification (BTI),Novel potent inhibitor discovery (NPID),B
3329,What is the main characteristic of fragments used in FBLD?,Large organic molecules,High molecular weight,Biological target specificity,Small size and low molecular weight,Strong binding affinity,D
3330,How does FBLD differ from HTS?,FBLD uses larger compound libraries than HTS,HTS seeks millimolar affinities while FBLD seeks nanomolar affinities,FBLD focuses on biological target identification while HTS focuses on lead compound discovery,FBLD screens compounds with molecular weights of 500 Da while HTS screens compounds with molecular weights of 200 Da,FBLD is a more cost-effective method than HTS,B
3331,What is considered a useful binding affinity in the early phase of FBLD?,Millimolar affinities,Nanomolar affinities,Picomolar affinities,Femtomolar affinities,Attomolar affinities,A
3332,In what field is FBLD commonly used?,Biotechnology,Pharmaceutical manufacturing,Chemical engineering,Drug discovery research,Medical diagnostics,D
3333,Where is the Kodaikanal Solar Observatory located?,On the southern tip of the Palani Hills,In Madras Presidency,In South India,In Kodaikanal,In the Indian Institute of Astrophysics,A
3334,What is the purpose of using COLD-PCR in detecting mutations?,To amplify and identify minority alleles and low-level somatic DNA mutations,To amplify only the major (wildtype) alleles,To amplify and identify only low-level somatic DNA mutations,To amplify and identify both major and minor alleles with the same efficiency,To occlude the ability to easily detect the presence of low-level mutations,A
3335,"According to Aristotle, why is artificiality considered contrary to naturalness?",Artificiality is persuasive and naturalness is not,Artificiality implies a design against the hearers,Artificiality is an imitation of things found in nature,Artificiality uses different materials than those found in nature,Artificiality is a product of the physical laws of the world,B
3336,What is the purpose of the Artificially Expanded Genetic Information System (AEGIS)?,To study the development of extraterrestrial life,To create a synthetic DNA analog,To understand the use of unnatural base pairs,To investigate the laboratories of the Foundation for Applied Molecular Evolution,To identify the four canonical nucleobases found in DNA,A
3337,What is the Landé g-factor?,A term appearing in the expression for the energy levels of an atom in a weak magnetic field,The total electronic angular momentum,The orbital angular momentum,The spin angular momentum,A multiplicative factor used in the calculation of the energy levels of an atom,A
3338,"What is the meaning of the name ""Cambuím""?",Fruit that is born on the thin branch,Coastal forests and semideciduous forests,Species of plant in the family Myrtaceae,Orange or black berries around 10mm in diameter,"Brazil, Paraguay and Argentina",A
3339,What are the two main forms of iron oxide nanoparticles?,Hematite and goethite,Magnetite and maghemite,Cobalt and nickel,Ferrous and ferric oxide,Iron and oxide,B
3340,What is a partial linear space? ,An incidence structure with elements called points and lines,An incidence structure with elements called points and surfaces,A linear hypergraph with elements called points and lines,A linear hypergraph with elements called points and surfaces,A geometric structure with elements called points and lines,A
3341,Where is the Yucca Mountain Nuclear Waste Repository located?,Nevada,New Mexico,California,Arizona,Texas,A
3342,"What is the main focus of the book ""Behave: The Biology of Humans at Our Best and Worst""?",The impact of biological processes on human behavior,The history of human behavior,The influence of cultural factors on human behavior,The role of genetics in human behavior,The psychology of human behavior,A
3343,Which spacecraft has visited Eris?,Voyager 2,New Horizons,Cassini,Pioneer 10,Juno,B
3344,What was the purpose of the Individual Carbine competition?,To select a successor for the M4 carbine in the United States Army,To evaluate the full range of weapons available in the small arms industry,To replace all current weapons in service in the United States Army,To choose a carbine for all branches of the military,To reduce the field down to six rifles,A
3345,What is the cause of bioluminescence in the Puerto Mosquito Bioluminescent Bay?,The presence of dinoflagellate Pyrodinium bahamense,The surrounding mangrove forest,The temperature of the water,The lack of modern development in the lagoon,The depth of the bay,A
